Common Name,Scientific Name,URL,County Name,State,FIPS,OBJECTID,UNIT_NAME,STATEFP,COUNTYFP
No common name,Abutilon eremitopetalum,https://ecos.fws.gov/ecp/species/2927,Maui,Hawaii,15009,437,Haleakala National Park,15,009
No common name,Abutilon eremitopetalum,https://ecos.fws.gov/ecp/species/2927,Maui,Hawaii,15009,490,Kalaupapa National Historical Park,15,009
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Hawaii,Hawaii,15001,6,Ala Kahakai National Historic Trail,15,001
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Hawaii,Hawaii,15001,445,Hawai'i Volcanoes National Park,15,001
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Hawaii,Hawaii,15001,491,Kaloko-Honokohau National Historical Park,15,001
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Hawaii,Hawaii,15001,712,Pu'uhonua o Honaunau National Historical Park,15,001
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Hawaii,Hawaii,15001,713,Pu'ukohola Heiau National Historic Site,15,001
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Honolulu,Hawaii,15003,450,Honouliuli National Monument,15,003
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Honolulu,Hawaii,15003,838,World War II Valor in the Pacific National Monument,15,003
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Maui,Hawaii,15009,437,Haleakala National Park,15,009
Ko`oloa`ula,Abutilon menziesii,https://ecos.fws.gov/ecp/species/3268,Maui,Hawaii,15009,490,Kalaupapa National Historical Park,15,009
No common name,Abutilon sandwicense,https://ecos.fws.gov/ecp/species/7482,Honolulu,Hawaii,15003,450,Honouliuli National Monument,15,003
No common name,Abutilon sandwicense,https://ecos.fws.gov/ecp/species/7482,Honolulu,Hawaii,15003,838,World War II Valor in the Pacific National Monument,15,003
Liliwai,Acaena exigua,https://ecos.fws.gov/ecp/species/7600,Maui,Hawaii,15009,437,Haleakala National Park,15,009
Liliwai,Acaena exigua,https://ecos.fws.gov/ecp/species/7600,Maui,Hawaii,15009,490,Kalaupapa National Historical Park,15,009
San Diego thornmint,Acanthomintha ilicifolia,https://ecos.fws.gov/ecp/species/351,San Diego,California,06073,199,Cabrillo National Monument,06,073
San Mateo thornmint,Acanthomintha obovata ssp. duttonii,https://ecos.fws.gov/ecp/species/2038,San Mateo,California,06081,405,Golden Gate National Recreation Area,06,081
Oahu tree snails,Achatinella spp.,https://ecos.fws.gov/ecp/species/304,Honolulu,Hawaii,15003,450,Honouliuli National Monument,15,003
Oahu tree snails,Achatinella spp.,https://ecos.fws.gov/ecp/species/304,Honolulu,Hawaii,15003,838,World War II Valor in the Pacific National Monument,15,003
No common name,Achyranthes mutica,https://ecos.fws.gov/ecp/species/5667,Hawaii,Hawaii,15001,6,Ala Kahakai National Historic Trail,15,001
No common name,Achyranthes mutica,https://ecos.fws.gov/ecp/species/5667,Hawaii,Hawaii,15001,445,Hawai'i Volcanoes National Park,15,001
No common name,Achyranthes mutica,https://ecos.fws.gov/ecp/species/5667,Hawaii,Hawaii,15001,491,Kaloko-Honokohau National Historical Park,15,001
No common name,Achyranthes mutica,https://ecos.fws.gov/ecp/species/5667,Hawaii,Hawaii,15001,712,Pu'uhonua o Honaunau National Historical Park,15,001
No common name,Achyranthes mutica,https://ecos.fws.gov/ecp/species/5667,Hawaii,Hawaii,15001,713,Pu'ukohola Heiau National Historic Site,15,001
Round-leaved chaff-flower,Achyranthes splendens var. rotundata,https://ecos.fws.gov/ecp/species/4709,Honolulu,Hawaii,15003,450,Honouliuli National Monument,15,003
Round-leaved chaff-flower,Achyranthes splendens var. rotundata,https://ecos.fws.gov/ecp/species/4709,Honolulu,Hawaii,15003,838,World War II Valor in the Pacific National Monument,15,003
Round-leaved chaff-flower,Achyranthes splendens var. rotundata,https://ecos.fws.gov/ecp/species/4709,Maui,Hawaii,15009,437,Haleakala National Park,15,009
Round-leaved chaff-flower,Achyranthes splendens var. rotundata,https://ecos.fws.gov/ecp/species/4709,Maui,Hawaii,15009,490,Kalaupapa National Historical Park,15,009
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Chatham,Georgia,13051,343,Fort Pulaski National Monument,13,051
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Glynn,Georgia,13127,335,Fort Frederica National Monument,13,127
Dwarf wedgemussel,Alasmidonta heterodon,https://ecos.fws.gov/ecp/species/784,Hanover,Virginia,51085,719,Richmond National Battlefield Park,51,085
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Carteret,North Carolina,37031,212,Cape Lookout National Seashore,37,031
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Dare,North Carolina,37055,209,Cape Hatteras National Seashore,37,055
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Dare,North Carolina,37055,344,Fort Raleigh National Historic Site,37,055
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Dare,North Carolina,37055,844,Wright Brothers National Memorial,37,055
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Hyde,North Carolina,37095,210,Cape Hatteras National Seashore,37,095
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Pender,North Carolina,37141,598,Moores Creek National Battlefield,37,141
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Northampton,Pennsylvania,42095,67,Appalachian National Scenic Trail,42,095
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Northampton,Pennsylvania,42095,300,Delaware Water Gap National Recreation Area,42,095
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Philadelphia,Pennsylvania,42101,466,Independence National Historical Park,42,101
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Calhoun,South Carolina,45017,265,Congaree National Park,45,017
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Charleston,South Carolina,45019,236,Charles Pinckney National Historic Site,45,019
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Charleston,South Carolina,45019,349,Fort Sumter National Monument,45,019
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Richland,South Carolina,45079,266,Congaree National Park,45,079
Shortnose sturgeon,Acipenser brevirostrum,https://ecos.fws.gov/ecp/species/6635,Sumter,South Carolina,45085,267,Congaree National Park,45,085
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,Contra Costa,California,06013,319,Eugene O'Neill National Historic Site,06,013
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,Contra Costa,California,06013,485,John Muir National Historic Site,06,013
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,Contra Costa,California,06013,706,Port Chicago Naval Magazine National Memorial,06,013
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,Contra Costa,California,06013,735,Rosie the Riveter/World War II Home Front National Historical Park,06,013
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,Marin,California,06041,403,Golden Gate National Recreation Area,06,041
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,Marin,California,06041,605,Muir Woods National Monument,06,041
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,Marin,California,06041,705,Point Reyes National Seashore,06,041
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,San Francisco,California,06075,342,Fort Point National Historic Site,06,075
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,San Francisco,California,06075,404,Golden Gate National Recreation Area,06,075
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,San Francisco,California,06075,709,Presidio of San Francisco,06,075
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,San Francisco,California,06075,757,San Francisco Maritime National Historical Park,06,075
green sturgeon,Acipenser medirostris,https://ecos.fws.gov/ecp/species/2329,San Mateo,California,06081,405,Golden Gate National Recreation Area,06,081
