OBJECTID,UNIT_NAME,STATEFP,COUNTYFP
1,Abraham Lincoln Birthplace National Historical Park,21,123
2,Acadia National Park,23,009
3,Acadia National Park,23,013
4,Adams National Historical Park,25,021
5,Agate Fossil Beds National Monument,31,165
6,Ala Kahakai National Historic Trail,15,001
7,Alagnak Wild River,02,164
8,Alibates Flint Quarries National Monument,48,375
9,Allegheny Portage Railroad National Historic Site,42,013
10,Allegheny Portage Railroad National Historic Site,42,021
11,American Memorial Park,69,110
12,Amistad National Recreation Area,48,465
13,Andersonville National Historic Site,13,193
14,Andersonville National Historic Site,13,261
15,Aniakchak National Monument,02,164
16,Aniakchak National Preserve,02,164
17,Antietam National Battlefield,24,021
18,Antietam National Battlefield,24,043
19,Apostle Islands National Lakeshore,55,003
20,Apostle Islands National Lakeshore,55,007
21,Appalachian National Scenic Trail,09,001
22,Appalachian National Scenic Trail,09,005
23,Appalachian National Scenic Trail,13,111
24,Appalachian National Scenic Trail,13,123
25,Appalachian National Scenic Trail,13,137
26,Appalachian National Scenic Trail,13,187
27,Appalachian National Scenic Trail,13,241
28,Appalachian National Scenic Trail,13,281
29,Appalachian National Scenic Trail,13,291
30,Appalachian National Scenic Trail,13,311
31,Appalachian National Scenic Trail,23,007
32,Appalachian National Scenic Trail,23,017
33,Appalachian National Scenic Trail,23,021
34,Appalachian National Scenic Trail,23,025
35,Appalachian National Scenic Trail,24,021
36,Appalachian National Scenic Trail,24,043
37,Appalachian National Scenic Trail,25,003
38,Appalachian National Scenic Trail,33,003
39,Appalachian National Scenic Trail,33,007
40,Appalachian National Scenic Trail,33,009
41,Appalachian National Scenic Trail,34,031
42,Appalachian National Scenic Trail,34,037
43,Appalachian National Scenic Trail,34,041
44,Appalachian National Scenic Trail,36,027
45,Appalachian National Scenic Trail,36,071
46,Appalachian National Scenic Trail,36,079
47,Appalachian National Scenic Trail,36,087
48,Appalachian National Scenic Trail,36,119
49,Appalachian National Scenic Trail,37,011
50,Appalachian National Scenic Trail,37,043
51,Appalachian National Scenic Trail,37,075
52,Appalachian National Scenic Trail,37,087
53,Appalachian National Scenic Trail,37,113
54,Appalachian National Scenic Trail,37,115
55,Appalachian National Scenic Trail,37,121
56,Appalachian National Scenic Trail,37,173
57,Appalachian National Scenic Trail,37,199
58,Appalachian National Scenic Trail,42,001
59,Appalachian National Scenic Trail,42,011
60,Appalachian National Scenic Trail,42,025
61,Appalachian National Scenic Trail,42,041
62,Appalachian National Scenic Trail,42,043
63,Appalachian National Scenic Trail,42,055
64,Appalachian National Scenic Trail,42,075
65,Appalachian National Scenic Trail,42,077
66,Appalachian National Scenic Trail,42,089
67,Appalachian National Scenic Trail,42,095
68,Appalachian National Scenic Trail,42,099
69,Appalachian National Scenic Trail,42,107
70,Appalachian National Scenic Trail,47,009
71,Appalachian National Scenic Trail,47,019
72,Appalachian National Scenic Trail,47,029
73,Appalachian National Scenic Trail,47,059
74,Appalachian National Scenic Trail,47,091
75,Appalachian National Scenic Trail,47,155
76,Appalachian National Scenic Trail,47,163
77,Appalachian National Scenic Trail,47,171
78,Appalachian National Scenic Trail,50,003
79,Appalachian National Scenic Trail,50,021
80,Appalachian National Scenic Trail,50,025
81,Appalachian National Scenic Trail,50,027
82,Appalachian National Scenic Trail,51,003
83,Appalachian National Scenic Trail,51,009
84,Appalachian National Scenic Trail,51,015
85,Appalachian National Scenic Trail,51,019
86,Appalachian National Scenic Trail,51,021
87,Appalachian National Scenic Trail,51,023
88,Appalachian National Scenic Trail,51,043
89,Appalachian National Scenic Trail,51,045
90,Appalachian National Scenic Trail,51,061
91,Appalachian National Scenic Trail,51,071
92,Appalachian National Scenic Trail,51,077
93,Appalachian National Scenic Trail,51,079
94,Appalachian National Scenic Trail,51,107
95,Appalachian National Scenic Trail,51,113
96,Appalachian National Scenic Trail,51,121
97,Appalachian National Scenic Trail,51,125
98,Appalachian National Scenic Trail,51,139
99,Appalachian National Scenic Trail,51,157
100,Appalachian National Scenic Trail,51,161
101,Appalachian National Scenic Trail,51,163
102,Appalachian National Scenic Trail,51,165
103,Appalachian National Scenic Trail,51,173
104,Appalachian National Scenic Trail,51,185
105,Appalachian National Scenic Trail,51,187
106,Appalachian National Scenic Trail,51,191
107,Appalachian National Scenic Trail,51,197
